away_team,home_goals,away_goals,result,season
Bournemouth,2,0,LOSE,2015-2016
Bournemouth,3,0,LOSE,2017-2018
Bournemouth,3,1,LOSE,2016-2017
Bournemouth,1,2,-WIN,2015-2016
Bournemouth,2,2,DRAW,2017-2018
Bournemouth,1,2,-WIN,2017-2018
Bournemouth,3,2,LOSE,2016-2017
Bournemouth,0,1,-WIN,2015-2016
Bournemouth,0,3,-WIN,2017-2018
Bournemouth,3,0,LOSE,2016-2017
Bournemouth,1,1,DRAW,2016-2017
Bournemouth,1,2,-WIN,2015-2016
Bournemouth,2,2,DRAW,2017-2018
Bournemouth,2,1,LOSE,2015-2016
Bournemouth,2,1,LOSE,2017-2018
Bournemouth,6,3,LOSE,2016-2017
Bournemouth,4,1,LOSE,2017-2018
Bournemouth,3,1,LOSE,2016-2017
Bournemouth,0,0,DRAW,2015-2016
Bournemouth,1,1,DRAW,2016-2017
Bournemouth,1,1,DRAW,2017-2018
Bournemouth,1,0,LOSE,2015-2016
Bournemouth,2,2,DRAW,2016-2017
Bournemouth,3,0,LOSE,2017-2018
Bournemouth,4,0,LOSE,2016-2017
Bournemouth,4,0,LOSE,2017-2018
Bournemouth,5,1,LOSE,2015-2016
Bournemouth,1,0,LOSE,2017-2018
Bournemouth,1,1,DRAW,2016-2017
Bournemouth,3,1,LOSE,2015-2016
Bournemouth,2,0,LOSE,2016-2017
Bournemouth,0,1,-WIN,2017-2018
Bournemouth,1,3,-WIN,2015-2016
Bournemouth,3,1,LOSE,2015-2016
Bournemouth,0,0,DRAW,2016-2017
Bournemouth,2,0,LOSE,2015-2016
Bournemouth,2,1,LOSE,2017-2018
Bournemouth,0,1,-WIN,2016-2017
Bournemouth,1,2,-WIN,2017-2018
Bournemouth,2,1,LOSE,2015-2016
Bournemouth,0,1,-WIN,2016-2017
Bournemouth,1,1,DRAW,2015-2016
Bournemouth,0,0,DRAW,2017-2018
Bournemouth,0,3,-WIN,2016-2017
Bournemouth,2,2,DRAW,2015-2016
Bournemouth,1,0,LOSE,2017-2018
Bournemouth,3,0,LOSE,2015-2016
Bournemouth,4,0,LOSE,2016-2017
Bournemouth,0,0,DRAW,2015-2016
Bournemouth,2,2,DRAW,2016-2017
Bournemouth,2,2,DRAW,2017-2018
Bournemouth,1,0,LOSE,2017-2018
Bournemouth,1,2,-WIN,2015-2016
Bournemouth,2,1,LOSE,2016-2017
Bournemouth,1,0,LOSE,2016-2017
Bournemouth,1,1,DRAW,2017-2018
Bournemouth,3,4,-WIN,2015-2016